n_syn_per_class,method,n_real,acc_mean,acc_std,macro_f1_mean,macro_f1_std,seeds,rows,csv
10,llm,2,0.4366,0.1043946145907707,0.32694,0.05145218276332999,10,10,breeze/results/milling_umich_v2_2026-07-08/downstream_scan_nsyn10_10seed/umich_v2_llm_nsyn10.csv
10,noise_aug,2,0.4683,0.08354916051177427,0.41097,0.07464775132432176,10,10,breeze/results/milling_umich_v2_2026-07-08/downstream_scan_nsyn10_10seed/umich_v2_noise_aug_nsyn10.csv
10,random_open_loop,2,0.47316,0.1029737420683329,0.42889,0.10844207311842678,10,10,breeze/results/milling_umich_v2_2026-07-08/downstream_scan_nsyn10_10seed/umich_v2_random_open_loop_nsyn10.csv
10,rule,2,0.40488999999999997,0.08145259630266209,0.35696999999999995,0.0578031919533861,10,10,breeze/results/milling_umich_v2_2026-07-08/downstream_scan_nsyn10_10seed/umich_v2_rule_nsyn10.csv
10,llm,5,0.42685000000000006,0.10426806531457485,0.33172999999999997,0.06007284559414326,10,10,breeze/results/milling_umich_v2_2026-07-08/downstream_scan_nsyn10_10seed/umich_v2_llm_nsyn10.csv
10,noise_aug,5,0.49512999999999996,0.07887931780750757,0.43925000000000003,0.061423127204299474,10,10,breeze/results/milling_umich_v2_2026-07-08/downstream_scan_nsyn10_10seed/umich_v2_noise_aug_nsyn10.csv
10,random_open_loop,5,0.4731599999999999,0.08385686482201549,0.4139900000000001,0.09645769884600537,10,10,breeze/results/milling_umich_v2_2026-07-08/downstream_scan_nsyn10_10seed/umich_v2_random_open_loop_nsyn10.csv
10,rule,5,0.43171,0.0788559509485492,0.36862,0.07209419455745997,10,10,breeze/results/milling_umich_v2_2026-07-08/downstream_scan_nsyn10_10seed/umich_v2_rule_nsyn10.csv
10,llm,10,0.41953000000000007,0.11486515814447634,0.34463,0.058620569958182954,10,10,breeze/results/milling_umich_v2_2026-07-08/downstream_scan_nsyn10_10seed/umich_v2_llm_nsyn10.csv
10,noise_aug,10,0.44634999999999997,0.11839177195509266,0.40308,0.10384459328995205,10,10,breeze/results/milling_umich_v2_2026-07-08/downstream_scan_nsyn10_10seed/umich_v2_noise_aug_nsyn10.csv
10,random_open_loop,10,0.44878,0.101684007264335,0.3971,0.06342216577121214,10,10,breeze/results/milling_umich_v2_2026-07-08/downstream_scan_nsyn10_10seed/umich_v2_random_open_loop_nsyn10.csv
10,rule,10,0.36829999999999996,0.07834927497360067,0.33254,0.06401451571497063,10,10,breeze/results/milling_umich_v2_2026-07-08/downstream_scan_nsyn10_10seed/umich_v2_rule_nsyn10.csv
20,llm,2,0.33661,0.04422438869623361,0.31218,0.05533493571977031,10,10,breeze/results/milling_umich_v2_2026-07-08/downstream_llm_smoke_nsyn20_10seed/umich_v2_llm_nsyn20.csv
20,noise_aug,2,0.46097,0.0731329390752059,0.43838999999999995,0.071407429585443,10,10,breeze/results/milling_umich_v2_2026-07-08/downstream_controls_nsyn20_10seed/umich_v2_noise_aug_nsyn20.csv
20,random_open_loop,2,0.43901,0.08211953956140877,0.40077999999999997,0.10033745063534352,10,10,breeze/results/milling_umich_v2_2026-07-08/downstream_controls_nsyn20_10seed/umich_v2_random_open_loop_nsyn20.csv
20,rule,2,0.34148999999999996,0.07966285137307656,0.31106,0.058175256290320235,10,10,breeze/results/milling_umich_v2_2026-07-08/downstream_controls_nsyn20_10seed/umich_v2_rule_nsyn20.csv
20,llm,5,0.33660999999999996,0.04270239259495108,0.30838,0.05629720340399789,10,10,breeze/results/milling_umich_v2_2026-07-08/downstream_llm_smoke_nsyn20_10seed/umich_v2_llm_nsyn20.csv
20,noise_aug,5,0.4658399999999999,0.061351432112235364,0.44436,0.07038986985197357,10,10,breeze/results/milling_umich_v2_2026-07-08/downstream_controls_nsyn20_10seed/umich_v2_noise_aug_nsyn20.csv
20,random_open_loop,5,0.49512999999999996,0.09416137507256124,0.43743999999999994,0.0926888606515847,10,10,breeze/results/milling_umich_v2_2026-07-08/downstream_controls_nsyn20_10seed/umich_v2_random_open_loop_nsyn20.csv
20,rule,5,0.34147,0.05747364710118117,0.29802999999999996,0.041503414852809936,10,10,breeze/results/milling_umich_v2_2026-07-08/downstream_controls_nsyn20_10seed/umich_v2_rule_nsyn20.csv
20,llm,10,0.33661,0.029974376093961027,0.30624,0.03434563533648296,10,10,breeze/results/milling_umich_v2_2026-07-08/downstream_llm_smoke_nsyn20_10seed/umich_v2_llm_nsyn20.csv
20,noise_aug,10,0.43414,0.10894010790847927,0.41795,0.1063071989827385,10,10,breeze/results/milling_umich_v2_2026-07-08/downstream_controls_nsyn20_10seed/umich_v2_noise_aug_nsyn20.csv
20,random_open_loop,10,0.40244,0.08544920778515804,0.37026,0.08396930920812014,10,10,breeze/results/milling_umich_v2_2026-07-08/downstream_controls_nsyn20_10seed/umich_v2_random_open_loop_nsyn20.csv
20,rule,10,0.34392,0.053237179990429,0.31212,0.03900466638749779,10,10,breeze/results/milling_umich_v2_2026-07-08/downstream_controls_nsyn20_10seed/umich_v2_rule_nsyn20.csv
40,llm,2,0.30734000000000006,0.026229211874464625,0.29381,0.03035162269138176,10,10,breeze/results/milling_umich_v2_2026-07-08/downstream_scan_nsyn40_10seed/umich_v2_llm_nsyn40.csv
