method,class,channel,psd_w1,band_l1
llm,sharp,smcAC,0.545163,0.010966
llm,sharp,smcDC,1.841593,0.097110
llm,sharp,vib_table,6.580352,0.636206
llm,sharp,vib_spindle,6.189477,0.703787
llm,sharp,AE_table,6.650169,0.473281
llm,sharp,AE_spindle,6.184086,0.453859
llm,worn,smcAC,1.288147,0.049380
llm,worn,smcDC,8.350038,0.940031
llm,worn,vib_table,14.102439,0.544078
llm,worn,vib_spindle,14.222821,0.502740
llm,worn,AE_table,3.196815,0.254090
llm,worn,AE_spindle,11.242924,0.325811
llm,severe,smcAC,0.755324,0.003332
llm,severe,smcDC,2.686541,0.214621
llm,severe,vib_table,12.270623,0.587295
llm,severe,vib_spindle,10.178663,0.614853
llm,severe,AE_table,11.914545,0.528144
llm,severe,AE_spindle,13.637469,0.531205
rule,sharp,smcAC,0.374394,0.004583
rule,sharp,smcDC,2.297963,0.109475
rule,sharp,vib_table,6.585642,0.714775
rule,sharp,vib_spindle,8.706386,0.751290
rule,sharp,AE_table,4.519144,0.286775
rule,sharp,AE_spindle,3.255177,0.321322
rule,worn,smcAC,1.114806,0.031260
rule,worn,smcDC,6.155853,0.631023
rule,worn,vib_table,8.743087,0.400687
rule,worn,vib_spindle,11.187620,0.643274
rule,worn,AE_table,6.106345,0.270651
rule,worn,AE_spindle,2.319827,0.129819
rule,severe,smcAC,0.958271,0.017102
rule,severe,smcDC,6.561371,0.575898
rule,severe,vib_table,4.900075,0.385988
rule,severe,vib_spindle,10.590049,0.679713
rule,severe,AE_table,6.667046,0.301112
rule,severe,AE_spindle,3.499659,0.210130
random_open_loop,sharp,smcAC,3.006635,0.093783
random_open_loop,sharp,smcDC,5.182344,0.426664
random_open_loop,sharp,vib_table,2.108550,0.208740
random_open_loop,sharp,vib_spindle,8.721477,0.556569
random_open_loop,sharp,AE_table,3.689739,0.149191
random_open_loop,sharp,AE_spindle,2.227739,0.155273
random_open_loop,worn,smcAC,3.481938,0.102091
random_open_loop,worn,smcDC,7.746896,0.390908
random_open_loop,worn,vib_table,14.656809,0.592028
random_open_loop,worn,vib_spindle,10.663661,0.694786
random_open_loop,worn,AE_table,10.302883,0.406818
random_open_loop,worn,AE_spindle,4.635578,0.282335
random_open_loop,severe,smcAC,3.212622,0.100366
random_open_loop,severe,smcDC,5.979250,0.314313
random_open_loop,severe,vib_table,7.931688,0.383018
random_open_loop,severe,vib_spindle,9.473763,0.556392
random_open_loop,severe,AE_table,8.317587,0.452414
random_open_loop,severe,AE_spindle,4.713963,0.377290
noise_aug,sharp,smcAC,0.423194,0.011594
noise_aug,sharp,smcDC,22.557272,0.624739
noise_aug,sharp,vib_table,5.041940,0.466684
noise_aug,sharp,vib_spindle,3.293345,0.286591
noise_aug,sharp,AE_table,1.877446,0.131814
noise_aug,sharp,AE_spindle,1.640438,0.141427
noise_aug,worn,smcAC,0.351757,0.004806
noise_aug,worn,smcDC,10.009305,0.273228
noise_aug,worn,vib_table,2.015211,0.173258
noise_aug,worn,vib_spindle,3.523241,0.432866
noise_aug,worn,AE_table,3.561998,0.151334
noise_aug,worn,AE_spindle,2.446284,0.116288
noise_aug,severe,smcAC,0.409435,0.005647
noise_aug,severe,smcDC,16.111280,0.466559
noise_aug,severe,vib_table,4.362709,0.186894
noise_aug,severe,vib_spindle,3.716672,0.263960
noise_aug,severe,AE_table,3.415889,0.223110
noise_aug,severe,AE_spindle,3.822851,0.156687
